problem_id;problem_type;pl;country;score;count
0;algorithms;c;India;15.0;2100
0;algorithms;c;Germany;15.0;6
0;algorithms;c;Republic of Korea;15.0;8
0;algorithms;c;United Kingdom;15.0;5
0;algorithms;c;Indonesia;15.0;20
0;algorithms;c;Bulgaria;15.0;3
0;algorithms;c;United States;15.0;42
0;algorithms;c;Brazil;15.0;8
0;algorithms;c;Sri Lanka;15.0;13
0;algorithms;c;Egypt;15.0;36
0;algorithms;c;China;15.0;5
0;algorithms;c;Canada;15.0;7
0;algorithms;c;France;15.0;10
0;algorithms;c;Romania;15.0;8
0;algorithms;c;Bangladesh;15.0;40
0;algorithms;c;Null;15.0;17
0;algorithms;c;Israel;15.0;2
0;algorithms;c;Dominican Republic;15.0;1
0;algorithms;c;South Korea;15.0;5
0;algorithms;c;Malaysia;15.0;3
0;algorithms;c;Turkey;15.0;18
0;algorithms;c;Vietnam;15.0;13
0;algorithms;c;Australia;15.0;5
0;algorithms;c;Mexico;15.0;6
0;algorithms;c;Czech Republic;15.0;1
0;algorithms;c;Spain;15.0;3
0;algorithms;c;Taiwan;15.0;7
0;algorithms;c;Finland;15.0;2
0;algorithms;c;Poland;15.0;2
0;algorithms;c;Singapore;15.0;5
0;algorithms;c;Argentina;15.0;3
0;algorithms;c;Venezuela;15.0;1
0;algorithms;c;New Zealand;15.0;1
0;algorithms;c;Greece;15.0;1
0;algorithms;c;Russian Federation;15.0;2
0;algorithms;c;Russia;15.0;3
0;algorithms;c;Sweden;15.0;2
0;algorithms;c;Latvia;15.0;1
0;algorithms;c;Serbia;15.0;2
0;algorithms;c;Colombia;15.0;1
0;algorithms;c;Italy;15.0;2
0;algorithms;c;Morocco;15.0;3
0;algorithms;c;Ireland;15.0;1
0;algorithms;c;Kazakhstan;15.0;1
0;algorithms;c;Viet Nam;15.0;6
0;algorithms;c;Portugal;15.0;3
0;algorithms;c;Uzbekistan;15.0;1
0;algorithms;c;Azerbaijan;15.0;18
0;algorithms;c;Philippines;15.0;3
0;algorithms;c;Belgium;15.0;1
0;algorithms;c;Korea, Republic of;15.0;2
0;algorithms;c;Ethiopia;15.0;2
0;algorithms;c;Nepal;15.0;29
0;algorithms;c;Hungary;15.0;2
0;algorithms;c;Kenya;15.0;2
0;algorithms;c;Nigeria;15.0;1
0;algorithms;c;Bhutan;15.0;1
0;algorithms;c;Republic of Moldova;15.0;1
0;algorithms;c;Andorra;15.0;1
0;algorithms;c;Switzerland;15.0;1
0;algorithms;c;Mongolia;15.0;1
0;algorithms;c;India;13.5;40
0;algorithms;c;South Korea;13.5;1
0;algorithms;c;Bhutan;13.5;1
0;algorithms;c;Egypt;13.5;4
0;algorithms;c;China;13.5;1
0;algorithms;c;India;13.35;12
0;algorithms;c;United States;13.35;1
0;algorithms;c;Null;13.35;1
0;algorithms;c;Indonesia;13.35;1
0;algorithms;c;Slovakia;13.35;1
0;algorithms;c;India;13.2;32
0;algorithms;c;France;13.2;1
0;algorithms;c;Brazil;13.2;1
0;algorithms;c;Singapore;13.2;2
0;algorithms;c;Indonesia;13.2;1
0;algorithms;c;India;11.7;90
0;algorithms;c;Bangladesh;11.7;2
0;algorithms;c;Indonesia;11.7;4
0;algorithms;c;Null;11.7;1
0;algorithms;c;United States;11.7;1
0;algorithms;c;Bulgaria;11.7;1
0;algorithms;c;Mexico;11.7;1
0;algorithms;c;India;10.5;86
0;algorithms;c;Indonesia;10.5;4
0;algorithms;c;Null;10.5;3
0;algorithms;c;France;10.5;1
0;algorithms;c;Bangladesh;10.5;1
0;algorithms;c;United States;10.5;1
0;algorithms;c;Egypt;10.5;1
0;algorithms;c;Vietnam;10.5;1
0;algorithms;c;Pakistan;10.5;1
0;algorithms;c;Taiwan;10.5;1
0;algorithms;c;India;9.9;95
0;algorithms;c;Egypt;9.9;1
0;algorithms;c;Bangladesh;9.9;1
0;algorithms;c;Indonesia;9.9;1
0;algorithms;c;Morocco;9.9;2
0;algorithms;c;India;0.0;86
0;algorithms;c;Sri Lanka;0.0;1
0;algorithms;c;Vietnam;0.0;1
0;algorithms;c;Azerbaijan;0.0;1
0;algorithms;c;United States;0.0;2
0;algorithms;c;Greece;0.0;2
0;algorithms;c;Bangladesh;0.0;2
0;algorithms;c;United Arab Emirates;0.0;1
0;algorithms;c;Turkey;0.0;1
0;algorithms;c;Germany;0.0;1
0;algorithms;c;Null;0.0;1
0;algorithms;c;Viet Nam;0.0;1
0;algorithms;cpp;United States;15.0;278
0;algorithms;cpp;Tunisia;15.0;3
0;algorithms;cpp;India;15.0;3098
0;algorithms;cpp;Italy;15.0;16
0;algorithms;cpp;Null;15.0;38
0;algorithms;cpp;Bangladesh;15.0;67
0;algorithms;cpp;Georgia;15.0;19
0;algorithms;cpp;China;15.0;20
0;algorithms;cpp;Germany;15.0;43
0;algorithms;cpp;Bulgaria;15.0;7
0;algorithms;cpp;Sweden;15.0;3
0;algorithms;cpp;Russia;15.0;15
0;algorithms;cpp;Czech Republic;15.0;7
0;algorithms;cpp;Romania;15.0;34
0;algorithms;cpp;Vietnam;15.0;77
0;algorithms;cpp;Russian Federation;15.0;36
0;algorithms;cpp;Israel;15.0;9
0;algorithms;cpp;Turkey;15.0;34
0;algorithms;cpp;United Kingdom;15.0;45
0;algorithms;cpp;Poland;15.0;33
0;algorithms;cpp;Spain;15.0;5
0;algorithms;cpp;Taiwan;15.0;23
0;algorithms;cpp;Greece;15.0;7
0;algorithms;cpp;Japan;15.0;16
0;algorithms;cpp;Indonesia;15.0;69
0;algorithms;cpp;Côte d'Ivoire;15.0;1
0;algorithms;cpp;Australia;15.0;18
0;algorithms;cpp;Brazil;15.0;11
0;algorithms;cpp;Nepal;15.0;4
0;algorithms;cpp;Singapore;15.0;16
0;algorithms;cpp;Canada;15.0;53
0;algorithms;cpp;Ireland;15.0;4
0;algorithms;cpp;Chile;15.0;5
0;algorithms;cpp;South Africa;15.0;3
0;algorithms;cpp;Viet Nam;15.0;63
